{'letter': '-'}&{'letter': '-'}&{'letter': 'B', 'number': 1, 'across': 'What someone with pocket aces is likely to do', 'down': 'Command center for the nervous system'}&"{'letter': 'E', 'number': 2, 'down': 'Creatures whose name is ""5733"" upside-down'}"&{'letter': 'T', 'number': 3, 'down': 'Word repeated into a microphone'}
"{'letter': 'H', 'number': 4, 'across': 'New person on staff', 'down': '""Property Brothers"" channel'}"&{'letter': 'I', 'number': 5, 'down': 'Where much early presidential campaigning is done'}&{'letter': 'R'}&{'letter': 'E'}&{'letter': 'E'}
{'letter': 'G', 'number': 6, 'across': 'Things on a bucket list'}&{'letter': 'O'}&{'letter': 'A'}&{'letter': 'L'}&{'letter': 'S'}
{'letter': 'T', 'number': 7, 'across': 'Surprise ending'}&{'letter': 'W'}&{'letter': 'I'}&{'letter': 'S'}&{'letter': 'T'}
{'letter': 'V', 'number': 8, 'across': 'Airport shuttle vehicle'}&{'letter': 'A'}&{'letter': 'N'}&{'letter': '-'}&{'letter': '-'}
