{'letter': '-'}&{'letter': '-'}&{'letter': 'P', 'number': 1, 'across': 'Chinese zodiac animal for 2019', 'down': 'Devoutly religious'}&{'letter': 'I', 'number': 2, 'down': 'Fails to be'}&"{'letter': 'G', 'number': 3, 'down': '""Oh, come on!""'}"
{'letter': 'R', 'number': 4, 'across': 'Salary bump', 'down': 'Tool seen by a sand trap'}&"{'letter': 'A', 'number': 5, 'down': '""___ fair in love and war""'}"&{'letter': 'I'}&{'letter': 'S'}&{'letter': 'E'}
"{'letter': 'A', 'number': 6, 'across': '""Bowling ___,"" seminal social science book about the decline of civic engagement'}"&{'letter': 'L'}&{'letter': 'O'}&{'letter': 'N'}&{'letter': 'E'}
{'letter': 'K', 'number': 7, 'across': 'Butterfingers'}&{'letter': 'L'}&{'letter': 'U'}&{'letter': 'T'}&{'letter': 'Z'}
{'letter': 'E', 'number': 8, 'across': 'Curvy shape'}&{'letter': 'S'}&{'letter': 'S'}&{'letter': '-'}&{'letter': '-'}
