"{'letter': 'B', 'number': 1, 'across': 'Bailout recipients during the 2008 financial crisis', 'down': 'Beethoven called him ""the immortal god of harmony""'}"&{'letter': 'A', 'number': 2, 'down': 'Stay away from'}&{'letter': 'N', 'number': 3, 'down': 'Skilled assassin'}&{'letter': 'K', 'number': 4, 'down': 'Supreme Court justice appointed between Sotomayor and Gorsuch'}&{'letter': 'S', 'number': 5, 'down': 'Condescending sort'}
{'letter': 'A', 'number': 6, 'across': 'Bird-related'}&{'letter': 'V'}&{'letter': 'I'}&{'letter': 'A'}&{'letter': 'N'}
{'letter': 'C', 'number': 7, 'across': 'Democratic Republic of the ___'}&{'letter': 'O'}&{'letter': 'N'}&{'letter': 'G'}&{'letter': 'O'}
{'letter': 'H', 'number': 8, 'across': 'Religious headscarf'}&{'letter': 'I'}&{'letter': 'J'}&{'letter': 'A'}&{'letter': 'B'}
{'letter': '-'}&"{'letter': 'D', 'number': 9, 'across': 'Brown who wrote ""The Da Vinci Code""'}"&{'letter': 'A'}&{'letter': 'N'}&{'letter': '-'}
