{'letter': '-'}&{'letter': '-'}&{'letter': 'B', 'number': 1, 'across': 'Ballpoint pen brand', 'down': 'Kind of cake made in a ring-shaped pan'}&"{'letter': 'I', 'number': 2, 'down': '""Ah, gotcha""'}"&"{'letter': 'C', 'number': 3, 'down': 'One-named pop star who sang ""Love Hurts""'}"
{'letter': 'P', 'number': 4, 'across': '+H', 'down': 'Talk to God'}&{'letter': 'L', 'number': 5, 'down': 'Opening paragraph of a news story'}&{'letter': 'U'}&{'letter': 'S'}&{'letter': 'H'}
{'letter': 'R', 'number': 6, 'across': 'Actress Zellweger'}&{'letter': 'E'}&{'letter': 'N'}&{'letter': 'E'}&{'letter': 'E'}
{'letter': 'A', 'number': 7, 'across': '+ER'}&{'letter': 'D'}&{'letter': 'D'}&{'letter': 'E'}&{'letter': 'R'}
{'letter': 'Y', 'number': 8, 'across': 'Up to this point'}&{'letter': 'E'}&{'letter': 'T'}&{'letter': '-'}&{'letter': '-'}
