{'letter': 'H', 'number': 1, 'across': 'Radiator sound', 'down': 'Outer coatings of corn'}&"{'letter': 'I', 'number': 2, 'down': ""Either of one's husband's parents, for example""}"&{'letter': 'S', 'number': 3, 'down': 'Genre with time travel and wormholes'}&{'letter': 'S', 'number': 4, 'down': 'Is no good at all'}&{'letter': '-'}
{'letter': 'U', 'number': 5, 'across': 'Full-length, as a movie'}&{'letter': 'N'}&{'letter': 'C'}&{'letter': 'U'}&{'letter': 'T', 'number': 6, 'down': 'Lipton products'}
{'letter': 'S', 'number': 7, 'across': 'One-eighth of a pizza'}&{'letter': 'L'}&{'letter': 'I'}&{'letter': 'C'}&{'letter': 'E'}
{'letter': 'K', 'number': 8, 'across': 'Novelist whose most famous protagonist transforms into a bug'}&{'letter': 'A'}&{'letter': 'F'}&{'letter': 'K'}&{'letter': 'A'}
{'letter': 'S', 'number': 9, 'across': 'Cheese with holes'}&{'letter': 'W'}&{'letter': 'I'}&{'letter': 'S'}&{'letter': 'S'}
